id,Cluster
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,3
140,3
141,3
142,2
143,2
144,3
145,3
146,3
147,2
148,2
149,2
150,3
151,2
152,2
153,3
154,3
155,3
156,3
157,2
158,2
159,3
160,2
161,3
162,3
163,2
164,3
165,2
166,3
167,2
168,3
169,3
170,2
171,3
172,2
173,2
174,3
175,2
176,2
177,2
178,3
179,2
180,3
181,2
182,2
183,3
184,1
185,2
186,2
187,2
188,3
189,2
190,2
191,3
192,2
193,2
194,2
195,3
196,2
197,2
198,3
199,2
200,3
201,2
202,2
203,2
204,2
205,2
206,3
207,3
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,3
216,2
217,3
218,1
219,3
220,2
221,2
222,2
223,3
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,3
233,3
234,2
235,2
236,2
237,3
238,2
239,3
240,2
241,2
242,2
243,2
244,3
245,2
246,2
247,3
248,2
249,3
250,3
251,3
252,3
253,3
254,3
255,2
256,2
257,2
258,2
259,2
260,2
261,3
262,3
263,2
264,3
265,2
266,2
267,3
268,2
269,2
270,2
271,2
272,2
273,2
274,3
275,2
276,3
277,2
278,2
279,3
280,2
281,2
282,2
283,2
284,2
285,3
286,2
287,2
288,3
289,2
290,2
291,3
292,2
293,3
294,3
295,2
296,3
297,2
298,3
299,2
300,3
